Object ID,Department,Object Name,Title,Culture,Artist Nationality,Object Begin Date,Object End Date,Medium,Credit Line,Country
236638,European Sculpture and Decorative Arts,Plaque,Head described as that of Saint James the Elder,German,Unknown,1800,1899,Iron,"Gift of Martin and Roberta Lerner, 2009",Unknown
241148,Greek and Roman Art,Statuette of a seated goddess,Terracotta statuette of a seated goddess,Cypriot,Unknown,-325,-275,Terracotta,"The Cesnola Collection, Purchased by subscription, 1874–76",Unknown
244271,Greek and Roman Art,Axehead,Axehead,Cypriot,Unknown,-3200,-2000,Bronze,"The Cesnola Collection, Purchased by subscription, 1874–76",Unknown
246324,Greek and Roman Art,"Fibula, boat-shaped type","Fibula, boat-shaped type",Italian,Unknown,-800,-501,Bronze,"Purchase, 1896",Unknown
250722,Greek and Roman Art,"Statuette of a woman, seated",Terracotta statuette of a seated woman,Greek,Unknown,-524,-475,Terracotta,"Gift of Henry S. Washington, 1919",Unknown
252173,Greek and Roman Art,Seal,Jasper amygdaloid seal,Minoan,Unknown,-1600,-1450,Jasper,"Bequest of Richard B. Seager, 1926",Unknown
252221,Greek and Roman Art,Seal,Seal,Minoan,Unknown,-2000,-1450,Haemaetite,"Bequest of Richard B. Seager, 1926",Unknown
262991,Photographs,Photograph,[Detail of Vanitas Figures Carved on the Choir Stalls at Amiens Cathedral],Unknown,Unknown,1860,1869,Albumen silver print from glass negative,"Gift of Lucien Goldschmidt, 1981",Unknown
263514,Photographs,Photograph,Robert Motherwell,Unknown,Unknown,1981,1981,Gelatin silver print,"Gift of the artist, 1983",Unknown
265758,Photographs,Photograph,[Graffiti on Backstage Door of the School of American Ballet],Unknown,Unknown,1945,1945,Gelatin silver print,"Gift of Paul F. Walter, in memory of Christopher Hemphill, 1987",Unknown
266167,Photographs,Photograph,[Study of Australian Grapes],Unknown,Unknown,1858,1862,Albumen silver print from glass negative,"Purchase, The Horace W. Goldsmith Foundation Gift, through Joyce and Robert Menschel, 1989",Unknown
269735,Photographs,Photograph,Sous bois,Unknown,Unknown,1922,1922,Bromoil print,"Gift of Clarence McK. Lewis, 1954",Unknown
271904,Photographs,Glass positive,Margaret Eakins,Unknown,Unknown,1880,1889,Glass positive ,"Gift of Charles Bregler, 1947",Unknown
273592,Photographs,Negative,[Peggy Bacon],Unknown,Unknown,1934,1934,Film negative,"Walker Evans Archive, 1994",Unknown
276937,Photographs,Negative,"[Two 35mm Film Frames: Boys Playing on Stoop Near Elevated Train Tracks, New York City]",Unknown,Unknown,1933,1934,Film negative,"Walker Evans Archive, 1994",Unknown
286197,Photographs,Photograph,"Rouen, Place Eau-de-Robec",Unknown,Unknown,1908,1908,Matte albumen silver print from glass negative,"Gilman Collection, Purchase, Sam Salz Foundation Gift, 2005",Unknown
311479,"Arts of Africa, Oceania, and the Americas",Horn,Horn,Asmat people,Indonesia,1900,2000,Bamboo,"The Michael C. Rockefeller Memorial Collection; Gift of Nelson A. Rockefeller and Mrs. Mary C. Rockefeller, 1965",Indonesia
312687,"Arts of Africa, Oceania, and the Americas",Snake figure,Coiled Serpent,Aztec,Mexico,1400,1600,"Stone, pigment","The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller, 1979",Mexico
313019,"Arts of Africa, Oceania, and the Americas",Pendant,Figure Pendant,Atlantic Watershed,Costa Rica,300,800,Jadeite,"The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller, 1979",Costa Rica
316760,"Arts of Africa, Oceania, and the Americas",Painting,Painting,Abelam people,Papua New Guinea,1900,2000,"Paper, paint","Gift of Lita Osmundsen, 1992",Papua New Guinea
317135,"Arts of Africa, Oceania, and the Americas",Ritual stone,Stone Pulidor,Mexican,Mexico,1200,1600,Stone,"Bequest of Arthur M. Bullowa, 1993  ",Mexico
319532,"Arts of Africa, Oceania, and the Americas",Costume element,Ceremonial Costume Element,Timor,Indonesia,1850,1950,"Cotton, glass beads","Bequest of John B. Elliott, 1997",Indonesia
323644,Ancient Near Eastern Art,Sherd,Sherd,Iran,Unknown,-3505,-3100,"Ceramic, paint","Rogers Fund, 1938",Unknown
325714,Ancient Near Eastern Art,Sculpture,Bird standard,Unknown,Unknown,-2500,-2500,Copper alloy,"Purchase, Schimmel Foundation Inc. Gift, 1965",Unknown
327150,Ancient Near Eastern Art,Bead,Bead,Unknown,Unknown,-7000,-5000,Calcite,"Gift of Sheldon and Barbara Breitbart, 1985",Unknown
339097,Drawings and Prints,Print; Poster,New York Ledger: Bicycle Number,Unknown,Unknown,1895,1895,Lithograph,"Gift of Bessie Potter Vonnoh, 1941",Unknown
339407,Drawings and Prints,Drawing,Figure Studies,Unknown,Unknown,1696,1770,"Pen and brown ink, over black chalk, on beige paper","Rogers Fund, 1964",Unknown
341146,Drawings and Prints,Print,Reciprocated Love,Unknown,Unknown,1584,1600,Engraving,"Harris Brisbane Dick Fund, 1927",Unknown
341485,Drawings and Prints,Print,"Rest on the flight into Egypt, Mary holding and looking at the infant Christ while St. Joseph reads",Unknown,Unknown,1632,1642,Etching,"Harris Brisbane Dick Fund, 1926",Unknown
345964,Drawings and Prints,Book,Meubles Modernes,Unknown,Unknown,1875,1890,Chromolithography,"A. Hyatt Mayor Purchase Fund, Marjorie Phelps Starr Bequest, 1987",Unknown
346186,Drawings and Prints,Book,Blossoms of Childhood,Unknown,Unknown,1840,1840,Illustrations: wood engraving,"Anonymous Gift, 1941",Unknown
347789,Drawings and Prints,Book,"The Comical History of Lord Flutter, Lord Spindle and Sir Harry Hopscotch; or, the Bee, the Wasp, and the Ant",Unknown,Unknown,1800,1900,"Wood engraving, hand colored","Gift of Lincoln Kirstein, 1964",Unknown
350011,Drawings and Prints,Book,"Seamless Plain Solid Gold Rings, Engraved Rings, Diamond Rings, Mountings, Ladies' Stone Rings, Chains, Diamond Cutters",Unknown,Unknown,1902,1902,Illustrations: photomechanical process,"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1960",Unknown
350542,Drawings and Prints,Book,"Performing Tea Ceremony, The Miyako Odori for 1935, and eight stage sets",Unknown,Unknown,1930,1940,Illustrations: photographic method and color prints,"Gift of Lincoln Kirstein, 1986",Unknown
355115,Drawings and Prints,Book,"Exposition Lorraine. L'École de Nancy au Musée de l'Union Centrale des Arts Décoratifs. Pavillon de Marsan, A Paris. Ier Série: Le Moblier",Unknown,Unknown,1900,1910,Heliotype print,"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1962",Unknown
357808,Drawings and Prints,Book,Enoch Arden,Unknown,Unknown,1866,1866,Illustrations: wood engraving,"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1966",Unknown
360463,Drawings and Prints,Drawing,"St. Peter's, exterior, tabernacle, elevation and section at base with details of pedestal and railing, (recto)St. Peter's, exterior, tabernacle, elevation and section at arched opening (verso)",Unknown,Unknown,1500,1560,"Dark brown ink, black chalk, and incised lines","Gift of Janos Scholz and Anne Bigelow Scholz, in memory of Flying Officer Walter Bigelow Rosen, RCAF, 1949",Unknown
360750,Drawings and Prints,Print,Head of a muscular old man in profile to left with flowing hair,Unknown,Unknown,1677,1625,Etching; only state,"Purchase, Joseph Pulitzer Bequest, 1917",Unknown
363070,Drawings and Prints,Print,"View of the Basilica of San Sebastiano fuori delle mura [St. Sebastian outside the Walls] on the Appian Way, from Vedute di Roma (Roman Views)",Unknown,Unknown,1745,1755,Etching; first state of four (Hind),"Gift of Mrs. David Keppel, 1960",Unknown
363754,Drawings and Prints,Drawing,Design for Pointed Utensil with an Egyptian Style Figure on the Handle,Unknown,Unknown,1548,1612,"Pen and brown ink, brush and brown wash, over black chalk.","Mrs. Regina Slatkin, 1963",Unknown
